Time (BTJD),Normalised flux,batman model,GP model
2685.3354202068595,1.0001738,1.0,-2.6335525785237124e-05
2685.3368091086177,1.0005041,1.0,-2.5819382763470067e-05
2685.338198010376,1.0001327,1.0,-2.5274707716405054e-05
2685.339586911669,0.9983523,1.0,-2.470023661471643e-05
2685.3506981252685,0.9997602,1.0,-1.890208334986987e-05
2685.352087027027,1.0010087,1.0,-1.8011381947014016e-05
2685.35347592832,1.0007507,1.0,-1.708005495237863e-05
2685.3548648300784,0.99745184,1.0,-1.6106661777204323e-05
2685.3562537318367,0.99925584,1.0,-1.5089652355748662e-05
2685.3576426335944,0.99976575,1.0,-1.4027912551228816e-05
2685.3590315348865,1.0003879,1.0,-1.2920556077600232e-05
2685.3604204366447,0.998118,1.0,-1.1766712815775016e-05
2685.361809338403,0.9987614,1.0,-1.0565496645464911e-05
2685.3631982401616,0.9965758,1.0,-9.316371504586307e-06
2685.364587141454,1.0006173,1.0,-8.019241461210136e-06
2685.365976043213,0.99650484,1.0,-6.674642011428311e-06
2685.367364944971,0.99687827,1.0,-5.283278468715125e-06
2685.368753846729,1.003673,1.0,-3.8465944043331035e-06
2685.370142748021,0.99626446,1.0,-2.366577160128891e-06
2685.371531649779,0.99860346,1.0,-8.448068922195517e-07
2685.3729205515374,0.9983841,1.0,7.165700997013857e-07
2685.3743094528304,0.9982118,1.0,2.3149227998953137e-06
2685.3756983545886,0.9990423,1.0,3.947195116094093e-06
2685.3770872563473,1.0015976,1.0,5.609895873615045e-06
2685.37847615764,1.0037271,1.0,7.299366818092068e-06
2685.379865059398,1.0008212,1.0,9.012404608599311e-06
2685.3812539611567,0.99963295,1.0,1.0746640279224451e-05
2685.382642862915,1.002466,1.0,1.2500033350404394e-05
2685.384031764208,0.99978775,1.0,1.4270639564717413e-05
2685.385420665966,1.0016432,1.0,1.605696444406668e-05
2685.3868095677244,0.99830985,1.0,1.785767258022375e-05
2685.388198469017,0.99996674,1.0,1.967165472915866e-05
2685.389587370775,1.0003794,1.0,2.149756139968595e-05
2685.3909762725325,1.0004218,1.0,2.3333973533601338e-05
2685.392365173825,0.9981764,1.0,2.517956163461399e-05
2685.3937540755837,0.9990009,1.0,2.7033006362531253e-05
2685.3951429768767,1.0014727,1.0,2.889260527538795e-05
2685.396531878635,0.9999671,1.0,3.0756443761825736e-05
2685.397920780393,1.000558,1.0,3.2622827579764646e-05
2685.3993096816857,1.0000796,1.0,3.449014130407768e-05
2685.4006985834444,0.9979275,1.0,3.635686637748492e-05
2685.402087485202,1.0015877,1.0,3.82214089498234e-05
2685.403476386494,0.9997724,1.0,4.0081839726147095e-05
2685.4048652882525,0.99975574,1.0,4.193640408600707e-05
2685.406254189545,1.0011327,1.0,4.378334252863603e-05
2685.4076430913037,0.9997206,1.0,4.562086930715026e-05
2685.409031993062,1.0010346,1.0,4.744736122619386e-05
2685.410420894354,0.9980172,1.0,4.9261215700147076e-05
2685.411809796112,1.0010433,1.0,5.106088995887603e-05
2685.4131986974044,0.9993186,1.0,5.284452367426695e-05
2685.4145875991626,1.0017745,1.0,5.461029487885405e-05
2685.4159765009213,0.9998462,1.0,5.6356345731201074e-05
2685.417365402214,1.0018396,1.0,5.808107815830077e-05
2685.4187543039725,1.0008055,1.0,5.97829968262964e-05
2685.420143205265,1.0005847,1.0,6.146094407255553e-05
2685.4215321070233,0.9980071,1.0,6.311398928438017e-05
2685.4229210083163,0.99797934,1.0,6.47412065732933e-05
2685.4243099100745,1.0015087,1.0,6.63411693391236e-05
2685.4256988113675,0.99941415,1.0,6.791198441202795e-05
2685.4270877131257,0.99882555,1.0,6.945187157003652e-05
2685.4284766144183,1.0006664,1.0,7.095889563712987e-05
2685.4298655161765,1.0005924,1.0,7.24308425408271e-05
2685.4312544179347,1.0017288,1.0,7.386553595511991e-05
2685.4326433192264,0.9991929,1.0,7.526096549570482e-05
2685.4340322209846,1.0009876,1.0,7.6615378737932e-05
2685.4354211222776,0.99863744,1.0,7.79269287083384e-05
2685.4368100240363,1.0008734,1.0,7.919378584886339e-05
2685.438198925329,1.003504,1.0,8.041387388124654e-05
2685.439587827087,1.001414,1.0,8.158531527890922e-05
2685.4409767283796,1.0025415,1.0,8.27069393651847e-05
2685.4423656301383,1.0012249,1.0,8.377806285886358e-05
2685.443754531431,1.0011787,1.0,8.479853851217634e-05
2685.4451434331895,1.0013944,1.0,8.576855604980338e-05
2685.446532334481,1.0003886,1.0,8.668857760896209e-05
2685.4479212357737,1.0009948,1.0,8.755933133497429e-05
2685.449310137532,0.99770224,1.0,8.838165595337344e-05
2685.4506990388245,0.99876547,1.0,8.915640935125424e-05
2685.4520879405823,1.002545,1.0,8.988391464148648e-05
2685.4534768418744,0.9997099,1.0,9.05641875263985e-05
