Time (BTJD),Normalised flux,batman model,GP model
2714.556157838357,0.9777055,0.9768271301756849,0.0005485019980940864
2714.557546690755,0.97401816,0.9768106044370654,0.0005487366654819414
2714.5589355431534,0.975248,0.9768006159578102,0.0005489679501246014
2714.560324396017,0.9759067,0.9767971147625617,0.0005491958083386761
2714.561713248415,0.9776158,0.9768000833786993,0.0005494201885369865
2714.5631021008126,0.9736007,0.9768095366193247,0.0005496410349213887
2714.5644909536763,0.9772872,0.9768255217745864,0.0005498582892687898
2714.5658798060745,0.9797617,0.9768481191569536,0.0005500718844659858
2714.5672686589387,0.9790724,0.9768774431253691,0.0005502817526394921
2714.5686575113364,0.97665805,0.9769136434444552,0.0005504878320102824
2714.5700463637336,0.97913706,0.9769569072500299,0.0005506900656987446
2714.571435216598,0.9736593,0.9770074614744829,0.0005508883968383671
2714.572824068996,0.9800447,0.9770655758509063,0.0005510827693845366
2714.5742129213945,0.97768,0.9771315668071731,0.0005512731207509836
2714.5756017742574,0.9777733,0.9772058020823186,0.0005514593917058663
2714.5769906266555,0.97496283,0.977288706337608,0.0005516415242140527
2714.5783794790536,0.9803518,0.9773807682781537,0.000551819458760594
2714.5797683319174,0.97511345,0.977482549149216,0.0005519931304955872
2714.5811571843155,0.98114794,0.9775946931718544,0.0005521624766270383
2714.5825460367137,0.9817022,0.9777179408483812,0.0005523274308325554
2714.5839348895765,0.9832416,0.9778531452846541,0.0005524879340622624
2714.5853237419747,0.98092043,0.9780012928063176,0.0005526439396589256
2714.5867125943732,0.976518,0.9781635298527154,0.0005527954157847903
2714.588101446771,0.98037964,0.9783411974408477,0.000552942337591511
2714.5894902996333,0.9766383,0.9785358771514329,0.0005530846773422748
2714.590879152031,0.97970885,0.9787494528915822,0.0005532224078853565
2714.592268004429,0.9830469,0.9789841972702156,0.0005533554975480914
2714.593656857293,0.9777237,0.9792428942718646,0.0005534839161989158
2714.595045709691,0.9834084,0.9795290210997855,0.0005536076407810508
2714.5964345620882,0.97993714,0.9798470318384068,0.0005537266474845426
2714.597823414487,0.9849047,0.980202825755893,0.0005538409187227922
2714.5992122673506,0.9828612,0.9806045945582134,0.0005539504402087836
2714.600601119749,0.98134667,0.9810645739810798,0.0005540552079634775
2714.6019899721464,0.9833962,0.9816036553163597,0.0005541552243557568
2714.603378824544,0.98099697,0.9823111484758535,0.0005542504927741332
2714.6047676774083,0.9833588,0.9836977600248415,0.0005543410182567987
2714.6061565298064,0.98486936,0.9854325108767054,0.0005544268015412745
2714.6075453822036,0.98645246,0.9873376121526136,0.000554507839582441
2714.6089342346017,0.99206287,0.989315358607974,0.0005545841252897477
2714.610323087,0.9950428,0.9912936607466638,0.0005546556488007504
2714.6117119398637,0.99247587,0.9932122124710269,0.0005547224064001988
2714.6131007922622,0.9941161,0.9950161680111441,0.0005547844022781856
2714.61448964466,0.99345946,0.9966518409801325,0.0005548416386625954
2714.615878497057,1.0032535,0.9980620879498109,0.0005548941113852068
2714.6172673494557,1.0005198,0.9991781026541965,0.0005549418093370173
2714.6186562023195,0.9978634,0.999892445639695,0.0005549847304661126
2714.620045054718,1.0003617,1.0,0.0005550228756776576
2714.6214339071153,0.9980435,1.0,0.0005550562402107939
2714.622822759513,1.0023872,1.0,0.0005550848158364374
2714.6242116119115,1.0045037,1.0,0.0005551085893855667
2714.6256004647753,1.0011004,1.0,0.0005551275527690969
2714.6269893171734,0.99765515,1.0,0.0005551417084279642
2714.6283781695715,1.0026069,1.0,0.000555151060669612
2714.6297670219687,0.99957025,1.0,0.0005551556085015008
2714.631155874367,1.0016034,1.0,0.0005551553534117737
2714.6325447267654,1.0017023,1.0,0.0005551502963672128
2714.633933579162,1.0004092,1.0,0.0005551404408428162
2714.635322432025,0.9982622,1.0,0.0005551257934799381
2714.636711284423,1.001211,1.0,0.0005551063598989714
2714.6381001368213,1.0055815,1.0,0.0005550821406283823
2714.6394889892194,1.0041175,1.0,0.0005550531392903846
